SourceFile,CreateDate,Author,Creator,CreatorTool,Producer
hl-161885.pdf,2013:03:26 15:34:18-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
HL%20Packaging%20%20Labeling%20Standards%204.2023.pdf,2023:04:24 09:53:12-05:00,Hpbby Lobby User,Hpbby Lobby User,Acrobat PDFMaker 23 for Word,Adobe PDF Library 23.1.175
HL%20Packaging%20&%20Labeling%20Standards%206.2016.pdf,2016:06:17 09:10:26-05:00,Hpbby Lobby User,Hpbby Lobby User,Acrobat PDFMaker 15 for Word,Adobe PDF Library 15.0
hl-230326.pdf,2012:10:02 08:40:19-05:00,,,,
hl-263244.pdf,2010:08:04 13:40:54-05:00,,Adobe InDesign CS4 (6.0),Adobe InDesign CS4 (6.0),Adobe PDF Library 9.0
hl-357814.pdf,2010:08:13 14:57:13-05:00,,Adobe InDesign CS4 (6.0),Adobe InDesign CS4 (6.0),Adobe PDF Library 9.0
hl-377465.pdf,2012:12:07 11:28:41-06:00,,,,
hl-398206.pdf,2013:03:29 11:00:58-05:00,,,,
hl-447938.pdf,2011:06:10 15:56:47-05:00,,Adobe InDesign CS5 (7.0),Adobe InDesign CS5 (7.0),Adobe PDF Library 9.9
hl-474304.pdf,2010:10:05 12:02:19-05:00,,Adobe InDesign CS4 (6.0),Adobe InDesign CS4 (6.0),Adobe PDF Library 9.0
hl-523340.pdf,2012:08:17 14:22:38-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
hl-595561.pdf,2008:11:26 12:43:36-06:00,,Adobe InDesign CS3 (5.0),Adobe InDesign CS3 (5.0),Adobe PDF Library 8.0
hl-615153.pdf,2008:12:19 08:55:18-06:00,,Adobe InDesign CS3 (5.0),Adobe InDesign CS3 (5.0),Adobe PDF Library 8.0
hl-616425.pdf,2013:03:29 14:08:57-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
hl-689281.pdf,2011:12:08 16:16:35-06:00,,Adobe InDesign CS5.5 (7.5.1),Adobe InDesign CS5.5 (7.5.1),Adobe PDF Library 9.9
hl-746917.pdf,2010:02:23 11:14:35-06:00,,Adobe InDesign CS3 (5.0),Adobe InDesign CS3 (5.0),Adobe PDF Library 8.0
hl-761965.pdf,2009:10:23 14:40:47-05:00,,Adobe InDesign CS3 (5.0),Adobe InDesign CS3 (5.0),Adobe PDF Library 8.0
hl-763847.pdf,2012:07:05 14:25:08-05:00,,,,
hl-808485.pdf,2013:02:06 10:53:47-06:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
hl-812461.pdf,2013:06:17 15:44:46-05:00,,,,
hl-820787.pdf,2013:06:06 13:26:43-05:00,,,,
hl-831768.pdf,2010:03:03 18:13:21-06:00,,Adobe InDesign CS3 (5.0),Adobe InDesign CS3 (5.0),Adobe PDF Library 8.0
hl-869420.pdf,2013:03:08 09:27:11-06:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
hl-897702.pdf,2011:05:19 16:19:45-05:00,,Adobe Photoshop Version 12.0.4x20110407 [20110407.r.1265 2011/04/07:02:00:00 cutoff; r branch],Adobe Photoshop Version 12.0.4x20110407 [20110407.r.1265 2011/04/07:02:00:00 cutoff; r branch],Acrobat Distiller 9.4.2 (Macintosh)
hl-920934.pdf,2010:05:24 09:24:21-05:00,,Adobe InDesign CS3 (5.0.4),Adobe InDesign CS3 (5.0.4),Adobe PDF Library 8.0
hl-932095.pdf,2013:06:26 14:54:15-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
Hobby%20Lobby%20New%20Cotton%20Compliance%20Forms%20&%20Requirements.pdf,2021:04:09 12:59:24-05:00,mandy.keef@hobbylobby.com,mandy.keef@hobbylobby.com,Microsoft® Word 2019,Microsoft® Word 2019
Hobby%20Lobby_Anti-Corruption%20Policy.pdf,2023:11:29 15:01:05-06:00,mandy.keef@hobbylobby.com,mandy.keef@hobbylobby.com,Microsoft® Word 2019,Microsoft® Word 2019
Hobby%20Lobby's%20Vendor%20Code%20of%20Conduct.pdf,2023:09:11 10:54:36-05:00,Mandy N. Keef,Mandy N. Keef,Microsoft® Word 2019,Microsoft® Word 2019
How_To_Read_A_Yarn_Label.pdf,2014:04:15 14:28:35-05:00,,,,
IDareTray.pdf,2014:03:17 16:31:44-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
Import%20Air%20Shipment%20Instruction%20-%20January%202024.pdf,2024:01:23 13:51:40-06:00,John R. Kreeb,John R. Kreeb,Microsoft® Word 2019,Microsoft® Word 2019
Import%20Air%20Shipment%20Over%20150.pdf,2018:11:20 14:46:55-06:00,Mandy N. Keef,Microsoft® Word 2013,,Microsoft® Word 2013
Import%20Shipping%20Marks%20Instructions%20October%202017.pdf,2017:10:10 16:40:22-05:00,Andrew M. Fenrick,Microsoft® Word 2013,,Microsoft® Word 2013
InfinityAndBeyond.pdf,2014:09:02 12:55:08-05:00,,,,
is-102582.pdf,2010:07:20 13:45:19-05:00,,Adobe InDesign CS3 (5.0.4),Adobe InDesign CS3 (5.0.4),Adobe PDF Library 8.0
is-114454.pdf,2012:04:23 09:06:11-05:00,,Adobe InDesign CS5.5 (7.5),Adobe InDesign CS5.5 (7.5),Adobe PDF Library 9.9
is-118059.pdf,2012:01:18 13:56:16-06:00,,,,
is-118414.pdf,2013:02:08 17:47:50-06:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
is-143230.pdf,2011:07:12 09:03:27-05:00,,Adobe InDesign CS5 (7.0),Adobe InDesign CS5 (7.0),Adobe PDF Library 9.9
is-145614.pdf,2012:09:21 13:48:54-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
is-148163.pdf,2012:10:04 17:16:22-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
is-149377.pdf,2012:01:27 08:55:06-06:00,,Adobe InDesign CS5.5 (7.5),Adobe InDesign CS5.5 (7.5),Adobe PDF Library 9.9
is-182063.pdf,2012:10:09 12:38:20-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
is-197061.pdf,2012:07:19 15:57:11-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
is-218313.pdf,2012:06:08 16:52:27-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
is-223289.pdf,2013:03:05 15:46:02-06:00,,,,
is-233056.pdf,2012:03:09 11:42:55-06:00,,Adobe InDesign CS5.5 (7.5),Adobe InDesign CS5.5 (7.5),Adobe PDF Library 9.9
is-263061.pdf,2010:08:05 08:56:20-05:00,,Adobe InDesign CS3 (5.0.4),Adobe InDesign CS3 (5.0.4),Adobe PDF Library 8.0
is-270777.pdf,2011:08:30 15:25:21-05:00,,Adobe InDesign CS5.5 (7.5),Adobe InDesign CS5.5 (7.5),Adobe PDF Library 9.9
is-276352.pdf,2012:06:13 12:47:03-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
is-283614.pdf,2011:06:02 14:53:19-05:00,,Adobe InDesign CS5 (7.0),Adobe InDesign CS5 (7.0),Adobe PDF Library 9.9
is-301911.pdf,2012:07:30 11:39:13-05:00,,,,
is-303115.pdf,2011:09:08 10:45:42-05:00,,Adobe InDesign CS5.5 (7.5),Adobe InDesign CS5.5 (7.5),Adobe PDF Library 9.9
is-346585.pdf,2010:11:11 15:23:27-06:00,,Adobe InDesign CS4 (6.0),Adobe InDesign CS4 (6.0),Adobe PDF Library 9.0
is-378299.pdf,2011:05:12 13:22:24-05:00,,Adobe InDesign CS5 (7.0),Adobe InDesign CS5 (7.0),Adobe PDF Library 9.9
is-396952.pdf,2011:09:26 14:05:22-05:00,,,,
is-402065.pdf,2010:09:01 14:31:41-05:00,,Adobe InDesign CS4 (6.0),Adobe InDesign CS4 (6.0),Adobe PDF Library 9.0
is-424838.pdf,2010:09:17 13:25:20-05:00,,Adobe Photoshop Version 10.0x20070321 [20070321.m.1480 2007/03/21:16:39:00 cutoff; m branch],Adobe Photoshop Version 10.0x20070321 [20070321.m.1480 2007/03/21:16:39:00 cutoff; m branch],Acrobat Distiller 8.2.3 (Macintosh)
is-453738.pdf,2011:06:09 11:40:41-05:00,,Adobe InDesign CS5 (7.0),Adobe InDesign CS5 (7.0),Adobe PDF Library 9.9
is-468330.pdf,2013:02:25 11:48:45-06:00,,,,
is-481176.pdf,2013:04:09 12:45:46-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
is-506741.pdf,2010:10:14 11:35:55-05:00,,Adobe InDesign CS4 (6.0),Adobe InDesign CS4 (6.0),Adobe PDF Library 9.0
is-513085.pdf,2013:04:09 13:21:15-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
is-516658.pdf,2012:11:13 08:45:00-06:00,,,,
is-532762.pdf,2012:03:30 09:07:57-05:00,,Adobe InDesign CS5.5 (7.5),Adobe InDesign CS5.5 (7.5),Adobe PDF Library 9.9
is-576850.pdf,2013:07:25 17:59:10-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
is-577007.pdf,2013:07:25 16:42:32-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
is-599415.pdf,2010:12:22 11:07:11-06:00,,Adobe InDesign CS4 (6.0),Adobe InDesign CS4 (6.0),Adobe PDF Library 9.0
is-611459.pdf,2013:06:04 15:31:08-05:00,,,,
is-616599.pdf,2012:03:29 16:26:58-05:00,,Adobe InDesign CS5.5 (7.5),Adobe InDesign CS5.5 (7.5),Adobe PDF Library 9.9
is-642454.pdf,2012:03:16 16:48:37-05:00,,Adobe InDesign CS5.5 (7.5),Adobe InDesign CS5.5 (7.5),Adobe PDF Library 9.9
is-703017.pdf,2012:06:18 10:37:38-05:00,,Adobe InDesign CS5.5 (7.5),Adobe InDesign CS5.5 (7.5),Adobe PDF Library 9.9
is-744243.pdf,2012:02:02 09:21:15-06:00,,Adobe InDesign CS5.5 (7.5),Adobe InDesign CS5.5 (7.5),Adobe PDF Library 9.9
is-750935.pdf,2012:09:17 09:50:22-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
is-777219.pdf,2012:06:25 09:29:47-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
is-781724.pdf,2009:11:03 11:26:52-06:00,,Adobe InDesign CS3 (5.0),Adobe InDesign CS3 (5.0),Adobe PDF Library 8.0
is-831867.pdf,2010:02:26 15:20:50-06:00,,Adobe InDesign CS3 (5.0),Adobe InDesign CS3 (5.0),Adobe PDF Library 8.0
is-898767.pdf,2010:05:07 11:03:27-05:00,,Adobe InDesign CS3 (5.0),Adobe InDesign CS3 (5.0),Adobe PDF Library 8.0
is-901116.pdf,2012:07:06 17:10:39-05:00,,,,
is-911784.pdf,2010:05:17 16:34:06-05:00,,Adobe InDesign CS3 (5.0),Adobe InDesign CS3 (5.0),Adobe PDF Library 8.0
is-925503.pdf,2012:07:19 14:13:26-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
is-962605.pdf,2011:06:09 11:56:17-05:00,,Adobe InDesign CS5 (7.0.4),Adobe InDesign CS5 (7.0.4),Adobe PDF Library 9.9
is-992511.pdf,2011:05:17 18:34:51-05:00,,Adobe InDesign CS5 (7.0),Adobe InDesign CS5 (7.0),Adobe PDF Library 9.9
is-992677.pdf,2011:05:20 13:25:14-05:00,,Adobe Photoshop Version 12.0.4x20110407 [20110407.r.1265 2011/04/07:02:00:00 cutoff; r branch],Adobe Photoshop Version 12.0.4x20110407 [20110407.r.1265 2011/04/07:02:00:00 cutoff; r branch],Acrobat Distiller 9.4.2 (Macintosh)
JewelIntentions.pdf,2014:01:16 14:56:16-06:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
Jewelry_101_Using_Crimp_Beads_and_Crimp_Covers.pdf,2014:07:10 16:12:37-05:00,,,,
L2S_SimpleCurtainPanel.pdf,2014:05:13 14:47:33-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
LookWhatsCookin.pdf,2013:12:30 14:33:22-06:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
MAGNET.pdf,2015:03:02 16:52:48-06:00,Floy Evans,Floy Evans,Microsoft® Word 2013,Microsoft® Word 2013
Manufacturer%20Statement%20of%20GSP%20Declaration%202019.pdf,2019:06:18 16:14:20-05:00,Caroline M. Taylor,Caroline M. Taylor,Microsoft® Word 2013,Microsoft® Word 2013
MixedMediaMasterpiece.pdf,2014:07:18 13:15:18-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
NailedIt.pdf,2014:05:20 16:17:37-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
New%20Silica%20Compliance%20&%20Requirements%20for%20Hobby%20Lobby.pdf,2021:11:15 12:03:59-06:00,mandy.keef@hobbylobby.com,mandy.keef@hobbylobby.com,Microsoft® Word 2019,Microsoft® Word 2019
OhBabyItsDuckCloth.pdf,2014:06:09 08:54:35-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
OhHattyDay.pdf,2014:02:12 10:17:48-06:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
PAPER%2048.pdf,2017:11:03 15:37:37-05:00,,,PScript5.dll Version 5.2.2,Acrobat Distiller 11.0 (Windows)
PartyLikeAPirate.pdf,2014:01:15 10:02:10-06:00,,,,
PatternPalooza.pdf,2014:07:08 15:38:10-05:00,,,,
PlayItSchool.pdf,2014:02:20 15:42:49-06:00,,,,
PoppinPetals.pdf,2014:02:11 14:56:05-06:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
PreciousMetals.pdf,2014:03:13 16:20:35-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
Regulatory%20Sewn-In%20Label%20Requirements_8.2021.pdf,2021:08:16 14:20:21-05:00,Mallory K. Roberts,Mallory K. Roberts,Acrobat PDFMaker 21 for Word,Adobe PDF Library 21.5.90
Ribbon.pdf,2015:02:17 16:34:01-06:00,Evans and Wood,Evans and Wood,Acrobat PDFMaker 11 for Word,Adobe PDF Library 11.0
Sales%20Confirmation%20&%20Commercial%20Invoice%20Requirements%20-%20April%202021.pdf,2021:04:27 15:14:51-05:00,Mandy N. Keef,Mandy N. Keef,Microsoft® Word 2019,Microsoft® Word 2019
Silica%20Certificate%20.pdf,2021:11:12 08:48:31-06:00,Katelyn R. Thomas,Katelyn R. Thomas,Microsoft® Word 2019,Microsoft® Word 2019
SoJarSoGood.pdf,2014:03:19 09:33:24-05:00,,,,
StampingGrounds.pdf,2014:01:30 13:21:24-06:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
StarsAndStrikes.pdf,2014:04:17 09:23:56-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
TakeATip.pdf,2014:01:13 13:07:09-06:00,,,,
TalkinChalky.pdf,2014:09:23 09:48:26-05:00,,,,
TEXTILE%2056.pdf,2014:11:06 10:50:44-06:00,Hobby Lobby User,Hobby Lobby User,Acrobat PDFMaker 11 for Word,Adobe PDF Library 11.0
TEXTILE%2057.pdf,2014:11:06 14:17:28-06:00,USAEC&FLW,USAEC&FLW,Acrobat PDFMaker 11 for Word,Adobe PDF Library 11.0
textile_51.pdf,2014:10:13 16:16:48-05:00,USAEC&FLW,USAEC&FLW,Microsoft® Word 2010,Microsoft® Word 2010
TideAndJoy.pdf,2014:06:17 16:42:24-05:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
Trade%20Agreement%20Requirements.pdf,2021:01:18 13:24:46-06:00,Mandy N. Keef,Microsoft® Word 2013,,Microsoft® Word 2013
TSCA%20CERTIFICATION%20STATEMENT.PDF,2019:04:04 14:39:52-04:00,Denise Cranata,Denise Cranata,Microsoft® Word for Office 365,Microsoft® Word for Office 365
TT%20Payment%20Instructions_November%202020.pdf,2020:10:30 09:57:21-05:00,Mandy N. Keef,Microsoft® Word 2013,,Microsoft® Word 2013
USMCA.pdf,2021:03:08 15:10:08-06:00,Mandy N. Keef,Mandy N. Keef,Microsoft® Word 2019,Microsoft® Word 2019
Vendor%20Letter%20-%20Cargo%20Ready%20Date%20Inaccuracies.pdf,2022:07:21 08:53:23-05:00,mandy.keef@hobbylobby.com,mandy.keef@hobbylobby.com,Microsoft® Word 2019,Microsoft® Word 2019
Vendor%20Letter%20-%20Forced%20Labor%20Indicator%20Training%20-%20Vendor%20Code%20of%20Conduct.pdf,2023:04:18 09:42:52-05:00,mandy.keef@hobbylobby.com,mandy.keef@hobbylobby.com,Microsoft® Word 2019,Microsoft® Word 2019
Vendor%20Letter%20-%20HL%20Anti-Corruption%20Policy.pdf,2023:11:27 13:34:30-06:00,mandy.keef@hobbylobby.com,mandy.keef@hobbylobby.com,Microsoft® Word 2019,Microsoft® Word 2019
Vendor%20Letter%20-%20Import%20Vendor%20Zip%20Code%20Requirements.pdf,2023:02:23 08:37:37-06:00,mandy.keef@hobbylobby.com,mandy.keef@hobbylobby.com,Microsoft® Word 2019,Microsoft® Word 2019
Wood%20Packing%20Material%20Policy.pdf,2024:01:17 09:32:13-06:00,Troy Crago-Edwards,Troy Crago-Edwards,Microsoft® Word 2019,Microsoft® Word 2019
YARN.pdf,2018:03:06 09:52:14-06:00,Anong S. Nguyen,Anong S. Nguyen,Acrobat PDFMaker 15 for Word,Adobe PDF Library 15.0
